timestamp_utc,shortwave_radiation
2026-03-01 14:45:00+00:00,100.0
2026-03-01 15:00:00+00:00,74.0
2026-03-01 15:15:00+00:00,45.0
2026-03-01 15:30:00+00:00,25.0
2026-03-01 15:45:00+00:00,20.0
2026-03-01 16:00:00+00:00,28.0
2026-03-01 16:15:00+00:00,36.0
2026-03-01 16:30:00+00:00,38.0
2026-03-01 16:45:00+00:00,30.0
2026-03-01 17:00:00+00:00,17.0
2026-03-01 17:15:00+00:00,6.0
2026-03-01 17:30:00+00:00,1.0
2026-03-01 17:45:00+00:00,0.0
2026-03-01 18:00:00+00:00,0.0
2026-03-01 18:15:00+00:00,0.0
2026-03-01 18:30:00+00:00,0.0
2026-03-01 18:45:00+00:00,0.0
2026-03-01 19:00:00+00:00,0.0
2026-03-01 19:15:00+00:00,0.0
2026-03-01 19:30:00+00:00,0.0
2026-03-01 19:45:00+00:00,0.0
2026-03-01 20:00:00+00:00,0.0
2026-03-01 20:15:00+00:00,0.0
2026-03-01 20:30:00+00:00,0.0
2026-03-01 20:45:00+00:00,0.0
2026-03-01 21:00:00+00:00,0.0
2026-03-01 21:15:00+00:00,0.0
2026-03-01 21:30:00+00:00,0.0
